"Action","Action"
"Add Test","Add Test"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Could not find test to delete.","Could not find test to delete."
"Delete Test","Delete Test"
"Delete","Delete"
"Edit Test '%s'","Edit Test '%s'"
"Edit","Edit"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select tests to delete.","Please select tests to delete."
"Please select tests.","Please select tests."
"Save And Continue Edit","Save And Continue Edit"
"Save Test","Save Test"
"Store views","Store views"
"Test was successfully deleted.","Test was successfully deleted."
"Test was successfully saved","Test was successfully saved"
"Test","Test"
"Tests","Tests"
"There was a problem saving the test.","There was a problem saving the test."
"There was an error deleteing test.","There was an error deleteing test."
"There was an error deleteing tests.","There was an error deleteing tests."
"There was an error updating tests.","There was an error updating tests."
"This test no longer exists.","This test no longer exists."
"Total of %d tests were successfully deleted.","Total of %d tests were successfully deleted."
"Total of %d tests were successfully updated.","Total of %d tests were successfully updated."
"Unable to find test to save.","Unable to find test to save."
"XML","XML"
"Yes","Yes"
"name","name"